constructorId,constructorRef,name,nationality,url,
consID199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering
consID200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering
consID201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus
consID202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
consID203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
consID204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
consID205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
consID206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
consID207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
consID208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
consID209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
consID210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
