constructorResultsId,raceId,constructorId,points,status
consResID468,raceID61,consID3,0,NULL
consResID469,raceID61,consID13,0,NULL
consResID470,raceID61,consID8,0,NULL
consResID471,raceID62,consID6,18,NULL
consResID472,raceID62,consID4,10,NULL
consResID473,raceID62,consID7,5,NULL
consResID474,raceID62,consID11,3,NULL
consResID475,raceID62,consID9,2,NULL
consResID476,raceID62,consID5,1,NULL
consResID477,raceID62,consID3,0,NULL
consResID478,raceID62,consID13,0,NULL
consResID479,raceID62,consID2,0,NULL
consResID480,raceID62,consID8,0,NULL
consResID481,raceID62,consID1,0,NULL
consResID482,raceID63,consID6,16,NULL
consResID483,raceID63,consID4,11,NULL
consResID484,raceID63,consID7,5,NULL
consResID485,raceID63,consID1,6,NULL
consResID486,raceID63,consID2,1,NULL
consResID487,raceID63,consID9,0,NULL
consResID488,raceID63,consID5,0,NULL
consResID489,raceID63,consID3,0,NULL
consResID490,raceID63,consID13,0,NULL
consResID491,raceID63,consID8,0,NULL
consResID492,raceID63,consID11,0,NULL
consResID493,raceID64,consID6,18,NULL
consResID494,raceID64,consID1,6,NULL
consResID495,raceID64,consID11,5,NULL
consResID496,raceID64,consID4,7,NULL
consResID497,raceID64,consID7,2,NULL
consResID498,raceID64,consID9,1,NULL
consResID499,raceID64,consID5,0,NULL
consResID500,raceID64,consID3,0,NULL
consResID501,raceID64,consID8,0,NULL
consResID502,raceID64,consID2,0,NULL
consResID503,raceID64,consID13,0,NULL
consResID504,raceID65,consID11,15,NULL
consResID505,raceID65,consID1,8,NULL
consResID506,raceID65,consID2,6,NULL
consResID507,raceID65,consID9,4,NULL
consResID508,raceID65,consID7,3,NULL
consResID509,raceID65,consID6,3,NULL
consResID510,raceID65,consID13,0,NULL
consResID511,raceID65,consID5,0,NULL
consResID512,raceID65,consID8,0,NULL
consResID513,raceID65,consID4,0,NULL
consResID514,raceID65,consID3,0,NULL
consResID515,raceID66,consID6,16,NULL
consResID516,raceID66,consID4,11,NULL
consResID517,raceID66,consID11,6,NULL
consResID518,raceID66,consID1,4,NULL
consResID519,raceID66,consID7,2,NULL
consResID520,raceID66,consID3,0,NULL
consResID521,raceID66,consID9,0,NULL
consResID522,raceID66,consID2,0,NULL
consResID523,raceID66,consID5,0,NULL
consResID524,raceID66,consID13,0,NULL
consResID525,raceID66,consID8,0,NULL
consResID526,raceID67,consID6,10,NULL
consResID527,raceID67,consID1,8,NULL
consResID528,raceID67,consID2,7,NULL
consResID529,raceID67,consID4,5,NULL
consResID530,raceID67,consID11,7,NULL
consResID531,raceID67,consID7,2,NULL
consResID532,raceID67,consID3,0,NULL
consResID533,raceID67,consID9,0,NULL
consResID534,raceID67,consID5,0,NULL
consResID535,raceID67,consID8,0,NULL
consResID536,raceID67,consID14,0,NULL
consResID537,raceID68,consID6,10,NULL
consResID538,raceID68,consID4,14,NULL
consResID539,raceID68,consID11,8,NULL
consResID540,raceID68,consID1,4,NULL
consResID541,raceID68,consID2,2,NULL
consResID542,raceID68,consID3,1,NULL
consResID543,raceID68,consID9,0,NULL
consResID544,raceID68,consID5,0,NULL
consResID545,raceID68,consID14,0,NULL
consResID546,raceID68,consID8,0,NULL
consResID547,raceID68,consID7,0,NULL
consResID548,raceID69,consID4,16,NULL
consResID549,raceID69,consID6,8,NULL
consResID550,raceID69,consID11,5,NULL
consResID551,raceID69,consID1,4,NULL
consResID552,raceID69,consID7,5,NULL
consResID553,raceID69,consID2,1,NULL
consResID554,raceID69,consID3,0,NULL
consResID555,raceID69,consID9,0,NULL
consResID556,raceID69,consID5,0,NULL
consResID557,raceID69,consID8,0,NULL
consResID558,raceID69,consID14,0,NULL
consResID559,raceID70,consID6,15,NULL
consResID560,raceID70,consID4,11,NULL
consResID561,raceID70,consID11,8,NULL
consResID562,raceID70,consID1,5,NULL
consResID563,raceID70,consID2,0,NULL
consResID564,raceID70,consID8,0,NULL
consResID565,raceID70,consID5,0,NULL
consResID566,raceID70,consID9,0,NULL
consResID567,raceID70,consID14,0,NULL
consResID568,raceID70,consID7,0,NULL
consResID569,raceID70,consID3,0,NULL
consResID570,raceID71,consID4,16,NULL
consResID571,raceID71,consID6,8,NULL
consResID572,raceID71,consID9,7,NULL
consResID573,raceID71,consID3,4,NULL
consResID574,raceID71,consID1,4,NULL
consResID575,raceID71,consID7,0,NULL
consResID576,raceID71,consID15,0,NULL
consResID577,raceID71,consID16,0,NULL
consResID578,raceID71,consID17,0,NULL
consResID579,raceID71,consID18,0,NULL
consResID580,raceID72,consID4,10,NULL
consResID581,raceID72,consID7,12,NULL
consResID582,raceID72,consID3,6,NULL
consResID583,raceID72,consID1,5,NULL
consResID584,raceID72,consID9,4,NULL
consResID585,raceID72,consID6,2,NULL
consResID586,raceID72,consID15,0,NULL
consResID587,raceID72,consID17,0,NULL
consResID588,raceID72,consID18,0,NULL
consResID589,raceID72,consID16,0,NULL
consResID590,raceID73,consID4,10,NULL
consResID591,raceID73,consID7,13,NULL
consResID592,raceID73,consID1,10,NULL
consResID593,raceID73,consID3,3,NULL
consResID594,raceID73,consID15,2,NULL
consResID595,raceID73,consID9,1,NULL
consResID596,raceID73,consID6,0,NULL
consResID597,raceID73,consID17,0,NULL
consResID598,raceID73,consID18,0,NULL
consResID599,raceID73,consID16,0,NULL
consResID600,raceID74,consID4,10,NULL
consResID601,raceID74,consID6,8,NULL
consResID602,raceID74,consID1,6,NULL
consResID603,raceID74,consID15,5,NULL
consResID604,raceID74,consID7,4,NULL
consResID605,raceID74,consID3,5,NULL
consResID606,raceID74,consID9,1,NULL
consResID607,raceID74,consID17,0,NULL
consResID608,raceID74,consID18,0,NULL
consResID609,raceID74,consID16,0,NULL
consResID610,raceID75,consID1,12,NULL
consResID611,raceID75,consID4,12,NULL
consResID612,raceID75,consID7,11,NULL
consResID613,raceID75,consID3,3,NULL
consResID614,raceID75,consID9,1,NULL
consResID615,raceID75,consID6,0,NULL
consResID616,raceID75,consID15,0,NULL
consResID617,raceID75,consID17,0,NULL
consResID618,raceID75,consID18,0,NULL
consResID619,raceID76,consID1,14,NULL
consResID620,raceID76,consID3,14,NULL
consResID621,raceID76,consID4,5,NULL
consResID622,raceID76,consID7,3,NULL
consResID623,raceID76,consID6,3,NULL
consResID624,raceID76,consID15,0,NULL
consResID625,raceID76,consID17,0,NULL
consResID626,raceID76,consID18,0,NULL
consResID627,raceID76,consID9,0,NULL
consResID628,raceID77,consID4,13,NULL
consResID629,raceID77,consID3,8,NULL
consResID630,raceID77,consID6,10,NULL
consResID631,raceID77,consID9,5,NULL
consResID632,raceID77,consID1,2,NULL
consResID633,raceID77,consID7,1,NULL
consResID634,raceID77,consID16,0,NULL
consResID635,raceID77,consID15,0,NULL
consResID636,raceID77,consID17,0,NULL
consResID637,raceID77,consID18,0,NULL
consResID638,raceID78,consID1,10,NULL
consResID639,raceID78,consID6,14,NULL
consResID640,raceID78,consID15,5,NULL
consResID641,raceID78,consID3,4,NULL
consResID642,raceID78,consID7,3,NULL
consResID643,raceID78,consID9,3,NULL
consResID644,raceID78,consID17,0,NULL
consResID645,raceID78,consID18,0,NULL
consResID646,raceID78,consID16,0,NULL
consResID647,raceID78,consID4,0,NULL
consResID648,raceID79,consID6,18,NULL
consResID649,raceID79,consID17,11,NULL
consResID650,raceID79,consID18,7,NULL
consResID651,raceID79,consID7,0,NULL
consResID652,raceID79,consID1,0,NULL
consResID653,raceID79,consID16,0,NULL
consResID654,raceID79,consID4,0,NULL
consResID655,raceID79,consID3,0,NULL
consResID656,raceID79,consID15,0,NULL
consResID657,raceID79,consID9,0,NULL
consResID658,raceID80,consID4,13,NULL
consResID659,raceID80,consID1,8,NULL
consResID660,raceID80,consID6,6,NULL
consResID661,raceID80,consID16,5,NULL
consResID662,raceID80,consID7,6,NULL
consResID663,raceID80,consID15,1,NULL
consResID664,raceID80,consID9,0,NULL
consResID665,raceID80,consID3,0,NULL
consResID666,raceID80,consID17,0,NULL
consResID667,raceID80,consID18,0,NULL
consResID668,raceID81,consID1,16,NULL
consResID669,raceID81,consID4,13,NULL
consResID670,raceID81,consID16,4,NULL
consResID671,raceID81,consID6,5,NULL
consResID672,raceID81,consID7,1,NULL
consResID673,raceID81,consID15,0,NULL
consResID674,raceID81,consID3,0,NULL
consResID675,raceID81,consID9,0,NULL
consResID676,raceID81,consID17,0,NULL
consResID677,raceID81,consID18,0,NULL
consResID678,raceID82,consID4,15,NULL
consResID679,raceID82,consID1,8,NULL
consResID680,raceID82,consID16,6,NULL
consResID681,raceID82,consID6,4,NULL
consResID682,raceID82,consID7,3,NULL
consResID683,raceID82,consID9,2,NULL
consResID684,raceID82,consID15,1,NULL
consResID685,raceID82,consID3,0,NULL
consResID686,raceID82,consID18,0,NULL
consResID687,raceID82,consID17,0,NULL
consResID688,raceID83,consID1,10,NULL
consResID689,raceID83,consID6,8,NULL
consResID690,raceID83,consID7,11,NULL
consResID691,raceID83,consID16,5,NULL
consResID692,raceID83,consID3,5,NULL
consResID693,raceID83,consID4,0,NULL
consResID694,raceID83,consID17,0,NULL
consResID695,raceID83,consID15,0,NULL
consResID696,raceID83,consID18,0,NULL
consResID697,raceID83,consID9,0,NULL
